danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,loudness,tempo,key_0,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,time_signature_1,time_signature_3,time_signature_4,time_signature_5,mode,explicit,popularity
1.0283685292260358,-1.360774809254237,-0.4290141144556326,1.1596473286493416,-0.23527581073030088,1.3299692063213737,0.39869154220341274,-1.0339493429780957,-0.8234841193455246,-0.4439611745914734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,48
0.4345830123993991,-0.013879849345745465,-0.25194498520794895,0.4565972568472668,-0.365058904415575,-0.2658998125067113,0.2699534014124741,-0.20007376701733526,-0.6517805582290666,-0.3747880575009214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,11
1.0140374734065773,-0.7977997199189688,-0.03154409242245074,0.5255466073968402,0.8445991288227116,-0.48436530466339806,1.4510116118508347,-1.7888391603772027,-3.845043310875843,-0.07462833271900741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,7
0.03401354120334377,-0.35523260789467265,0.8342676932135105,0.7313294751094915,0.6316513398545041,-0.2456407271599561,-0.7591743030242668,-1.4840052187412265,-2.839846005774784,-0.17906376704754903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,61
0.5637753161049042,-0.43959909855282603,-0.36474781889711266,-0.5357931776647514,-0.7278734995398517,-0.5384789125322527,-0.16930376464895988,-1.1668951242203542,0.05370548604427333,0.6875537535323752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,55
-0.6743143287400212,0.06407011249067857,0.10870906806405548,-0.7092149887503716,-0.13584285898009518,-0.16562879082176035,-1.3341794351888345,-0.1874452940496441,0.136669874879692,1.4175205799238235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,52
0.309119849954064,-1.3047819822446294,-0.38103261492948337,1.3749913135069662,-0.34196331223431026,-0.6053383869002749,-0.017005343983396377,-0.5444776579522497,-0.8531280076997113,-0.6656591718884385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,56
0.713780539137101,0.1060328727776791,-0.1949338264693833,0.10627313376236897,-0.226159160096323,1.6125830325780688,0.8212092231928646,-0.1792428421220679,0.020981713185755535,-0.5667280992750954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,34
-1.8678344097556225,-1.5018155836181042,-0.7066397317659354,1.830282670888545,-0.11868987435524392,0.577111051005166,0.525017219202976,-0.5685565336107854,-0.8762271414821946,-0.7319080968177909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0
-2.205295610876646,0.4869231895072553,-0.2180158633151919,-0.8507913446152559,-0.12815648200930216,0.676015748271131,-1.5023972000032606,-0.30713503217673255,0.8175168431183831,0.44396117459147305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
